time/s;current/A;battery voltage/V
114954.526920898;180.09877;2.9978611
114955.52692066;180.092;2.9974604
114956.526920422;180.15988;2.9961572
114957.526920183;180.04788;2.9954054
114958.526919945;179.98341;2.9946537
114959.526919706;180.08522;2.9938519
114960.526919468;180.08181;2.9926491
114961.526919229;180.04109;2.9919975
114962.526918991;180.16666;2.9910452
114963.526918753;180.01394;2.9903936
114964.526918514;180.13272;2.9893413
114965.526918276;180.07164;2.9882886
114966.526918037;180.11577;2.9875369
114967.526917799;180.07505;2.9864845
114968.526917561;180.07164;2.9859331
114969.526917322;180.05469;2.9848306
114970.526917084;180.21756;2.9838283
114971.526916845;180.10558;2.9828258
114972.526916607;180.08859;2.9819238
114973.526916368;180.04109;2.9809716
114974.52691613;180.13613;2.98037
114975.526915892;179.91553;2.9791672
114976.526915653;180.06145;2.9781649
114977.526915418;180.21417;2.9773629
114978.526915183;180.18702;2.9760599
114979.526914949;180.16666;2.9751077
114980.526914714;180.1395;2.9743559
114981.526914479;180.10558;2.9732533
114982.526914245;180.08522;2.9722509
114983.52691401;180.08522;2.9713488
114984.526913775;180.1395;2.9700458
114985.52691354;180.24813;2.9695444
114986.526913306;180.10217;2.9681413
114987.526913071;180.05128;2.9675398
114988.526912836;179.90534;2.9658859
114989.526912602;179.94269;2.9654849
114990.526912367;180.11577;2.9640818
114991.526912132;180.09541;2.9634302
114992.526911898;180.03769;2.9620769
114993.526911663;180.06486;2.9610245
114994.526911428;180.09541;2.9595208
114995.526911194;180.03092;2.958719
114996.526910959;180.01056;2.9574661
114997.526910724;180.11236;2.9571652
114998.526910489;180.00716;2.9557118
114999.526910255;180.11236;2.954459
115000.52691002;180.07505;2.9530556
115001.526909785;180.08522;2.9522538
115002.526909551;180.05805;2.9510009
115003.526909315;180.05469;2.950249
115004.526909077;180.02073;2.9488959
115005.526908838;179.97322;2.9474425
115006.5269086;180.09877;2.9465904
115007.526908361;180.092;2.9451871
115008.526908123;180.01733;2.9444354
115009.526907885;180.04109;2.942982
115010.526907646;180.14969;2.9422302
115011.526907408;180.04109;2.9408269
115012.526907169;180.13272;2.9398246
115013.526906931;180.05128;2.9384212
115014.526906692;179.95964;2.9369175
115015.526906454;180.14969;2.9358151
115016.526906216;180.06145;2.9347625
115017.526905977;180.01733;2.9334595
115018.526905739;180.1463;2.9326074
115019.5269055;180.16666;2.9313045
115020.526905262;180.05128;2.9297006
115021.526905024;180.06486;2.9282472
115022.526904785;180.01394;2.9274955
115023.526904547;180.11236;2.925992
115024.526904308;180.04109;2.9249394
115025.52690407;180.092;2.9238367
115026.526903831;180.03769;2.922183
115027.526903593;180.16325;2.9211304
115028.526903355;180.11577;2.9195769
115029.526903116;180.08181;2.9185743
115030.526902881;180.05469;2.9172213
115031.526902647;180.09877;2.915818
115032.526902412;180.10897;2.9147153
115033.526902177;180.02413;2.9130113
115034.526901943;180.09877;2.9119589
115035.526901708;180.09541;2.9105053
115036.526901473;180.03092;2.9092524
115037.526901239;180.03431;2.9079494
115038.526901004;180.03769;2.906095
115039.526900769;179.9868;2.9049423
115040.526900535;180.06486;2.9036894
115041.5269003;180.08181;2.9020355
115042.526900065;180.02073;2.9006822
115043.52689983;179.94945;2.8993793
115044.526899596;179.97322;2.898026
115045.526899361;180.02752;2.8964221
115046.526899126;180.08859;2.8949687
115047.526898892;179.95286;2.893816
115048.526898657;180.06823;2.8923125
115049.526898422;179.96983;2.8908591
115050.526898188;180.08181;2.8892553
115051.526897953;180.10897;2.8878019
115052.526897718;180.07164;2.8862484
115053.526897484;180.06145;2.8847947
115054.526897249;180.17005;2.8830907
115055.526897014;180.09877;2.8818879
115056.526896778;180.06486;2.8800838
115057.52689654;180.11577;2.8787806
115058.526896301;179.99697;2.8769262
115059.526896063;180.15648;2.8755732
115060.526895824;180.01733;2.8739192
115061.526895586;180.05805;2.8724658
115062.526895348;180.12933;2.8708119
115063.526895109;180.03769;2.8693585
115064.526894871;180.03092;2.8675542
115065.526894632;179.95625;2.8659003
115066.526894394;180.09877;2.8644469
115067.526894155;180.09877;2.862793
115068.526893917;180.24131;2.8608885
115069.526893679;180.08522;2.8594851
115070.52689344;180.03092;2.8573802
115071.526893202;180.0445;2.8560271
115072.526892963;180.22436;2.8544233
115073.526892725;179.95964;2.8526189
115074.526892487;180.07505;2.851366
115075.526892248;180.07505;2.8495116
115076.52689201;179.94945;2.8479078
115077.526891771;180.11914;2.8459032
115078.526891533;180.11914;2.8435977
115079.526891294;180.01056;2.8422947
115080.526891056;179.98002;2.8403902
115081.526890818;180.14969;2.8389368
115082.52689058;180.24131;2.8366814
115083.526890345;180.13272;2.8354285
115084.526890111;180.06145;2.8333235
115085.526889876;180.08859;2.8315194
115086.526889641;180.02752;2.8296149
115087.526889407;180.11236;2.8275599
115088.526889172;180.11577;2.825906
115089.526888937;180.01394;2.8240016
115090.526888703;180.04788;2.8221471
115091.526888468;180.11236;2.8202426
115092.526888233;180.11914;2.8183382
115093.526887998;180.00377;2.8164337
115094.526887764;180.09877;2.8144791
115095.526887529;180.07164;2.812274
115096.526887294;180.05469;2.8105197
115097.52688706;180.11914;2.8081641
115098.526886825;180.01056;2.8062096
115099.52688659;180.02073;2.8042049
115100.526886356;180.0445;2.8022001
115101.526886121;179.99358;2.7998948
115102.526885886;180.09877;2.7979903
115103.526885652;180.04788;2.7958853
115104.526885417;180.01394;2.7938805
115105.526885182;180.204;2.7912242
115106.526884947;180.12594;2.7897708
115107.526884713;180.01394;2.7873151
115108.526884478;180.09541;2.7850597
115109.526884241;180.07505;2.7828546
115110.526884003;180.06823;2.7806995
115111.526883764;180.12253;2.7786949
115112.526883526;179.99358;2.7760887
115113.526883288;180.05805;2.7737832
115114.526883049;180.00377;2.7714276
115115.526882811;180.14969;2.7696736
115116.526882572;180.12253;2.7668669
115117.526882334;180.1395;2.7648623
115118.526882096;180.092;2.7623062
115119.526881857;180.01733;2.7599506
115120.526881619;180.17684;2.7574949
115121.52688138;180.1395;2.7548385
115122.526881142;179.95625;2.7527838
115123.526880903;180.05805;2.7500772
115124.526880665;179.99019;2.7476716
115125.526880427;180.01394;2.7449653
115126.526880188;180.17005;2.7424593
115127.52687995;180.07164;2.7400537
115128.526879711;180.07505;2.7374475
115129.526879473;180.09877;2.7347412
115130.526879234;180.10217;2.7322352
115131.526878996;180.06486;2.7293785
115132.526878758;180.17005;2.7268226
115133.526878519;180.04788;2.7241664
115134.526878281;180.09877;2.7215602
115135.526878044;180.1395;2.7186532
115136.526877809;180.10558;2.7159469
115137.526877574;180.08181;2.7126892
115138.52687734;180.05469;2.7102334
115139.526877105;180.09877;2.7073767
115140.52687687;179.99697;2.70452
115141.526876636;180.06145;2.7015128
115142.526876401;179.98002;2.6983554
115143.526876166;179.92909;2.6951981
115144.526875932;180.14289;2.6921408
115145.526875697;180.07164;2.6893842
115146.526875462;180.04109;2.6859262
115147.526875227;180.06823;2.6829691
115148.526874993;180.09877;2.6802127
115149.526874758;179.89856;2.6765039
115150.526874523;179.9868;2.673497
115151.526874289;180.07164;2.6703393
115152.526874054;180.11236;2.6667809
115153.526873819;180.09877;2.6632226
115154.526873585;180.05805;2.6597645
115155.52687335;180.09541;2.6563063
115156.526873115;180.01733;2.6529484
115157.526872881;180.08181;2.6495404
115158.526872646;180.08181;2.6460321
115159.526872411;180.12594;2.6422732
115160.526872176;180.00377;2.6382639
115161.526871942;180.05469;2.634505
115162.526871704;180.04109;2.6309967
115163.526871466;179.89516;2.6268871
115164.526871227;180.15308;2.6229277
115165.526870989;180.09541;2.6193192
115166.526870751;180.13613;2.6150591
115167.526870512;180.11914;2.6106989
115168.526870274;180.02413;2.6066895
115169.526870035;180.0445;2.6023293
115170.526869797;180.11577;2.5978687
115171.526869559;180.08859;2.5939093
115172.52686932;180.12594;2.589148
115173.526869082;180.15988;2.5845873
115174.526868843;180.12594;2.5795755
115175.526868605;180.05128;2.5749648
115176.526868366;180.15648;2.5699027
115177.526868128;180.07505;2.5649912
115178.52686789;180.05469;2.5607812
115179.526867651;180.01056;2.5555189
115180.526867413;180.03092;2.5498555
115181.526867174;180.12933;2.5447936
115182.526866936;180.07841;2.5393808
115183.526866697;180.12933;2.5335672
115184.526866459;180.06486;2.5281043
115185.526866221;180.18023;2.5222905
115186.526865982;180.05469;2.5163264
115187.526865744;180.08181;2.5101118
115188.526865507;180.09541;2.5040977
115189.130865365;180.10897;2.5000882
115189.131065365;180.01056;2.5000381
115189.132265365;176.86463;2.5007899
