% Model:              2_2603_JH_lib_coupled_model.mph
% Version:            COMSOL 6.3.0.420
% Date:               Mar 26 2026, 17:17
% Dimension:          0
% Nodes:              2711
% Expressions:        4
% Description:        Point Probe 1, Point Probe 3, Point Probe 2, Point Probe 4
% u_par                   t                        point1 (V)               point3 (N)               point2 (A)               point4 (m)
1.2000000000000002        3708                     3.8191846045790827       9.299343050616735E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3744                     3.8172708808781226       9.449104221893969E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3780                     3.815319439343567        9.598700460564035E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3816                     3.813342558941239        9.748130539711952E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3852                     3.811340239671139        9.897394459337717E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3888.0000000000005       3.809303422194881        1.0046494844910842E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3924.0000000000005       3.8072337978310253       1.0195431206273517E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3960.0000000000005       3.805133358275322        1.0344202966216215E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        3996.0000000000005       3.803002732100818        1.0492810796404889E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4032.0000000000005       3.800844406776551        1.0641257354841232E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4068.0000000000005       3.7986567641397757       1.078954091242661E8      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4104                     3.7964398041904914       1.0937661469161022E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4140.000000000001        3.79419666822068         1.1085621358065633E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4176                     3.7919276460700426       1.1233420794402869E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4212                     3.7896315387928987       1.1381058887722029E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4248                     3.7873099106875148       1.1528535989664954E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4284                     3.7849779871380607       1.1675855522777075E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4320                     3.7826266617024698       1.182301544000256E8      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4356                     3.7802559343807416       1.1970015741341382E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4392                     3.777871734412585        1.2116857997059041E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4428                     3.7754769156246266       1.2263542962946431E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4464                     3.773067887630952        1.2410069688146567E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4500                     3.770644650431561        1.2556438172659437E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4536                     3.768217435254736        1.2702651133381042E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4572                     3.765780503378944        1.2848707046397643E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4608                     3.7633338543605315       1.2994605911591403E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4644                     3.7608794236214833       1.3140348739936942E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4680                     3.758419268250009        1.3285936605961674E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4716                     3.755951573388096        1.3431368561668006E8     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        4752                     3.7534763390357435       1.357664460705594E8      1.4768238373834388       1.7847900466562989E-6
